objectid,mb_code_2021,change_flag_2021,sa2_name_2021,Suburb_Name
1543,10017790000,0,Regents Park,Potts Hill
1549,10017830000,0,Lidcombe,Chullora
1561,10017870000,0,Regents Park,Chullora
1751,10019481000,0,Regents Park,Regents Park
1752,10019482000,0,Regents Park,Regents Park
1834,10020270000,0,Regents Park,Regents Park
1849,10020431000,0,Regents Park,Regents Park
1939,10021230000,0,Regents Park,Regents Park
1941,10021242000,0,Auburn - South,Regents Park
1942,10021243000,0,Auburn - South,Regents Park
2043,10022310000,0,Regents Park,Regents Park
2059,10022511000,0,Regents Park,Regents Park
2769,10031630000,0,Bankstown - South,Condell Park
2770,10031640000,0,Bankstown - South,Bankstown
2771,10031650000,0,Bankstown - South,Bankstown
2772,10031660000,0,Bankstown - North,Bankstown
2773,10031670000,0,Bankstown - North,Bankstown
2774,10031680000,0,Punchbowl,Punchbowl
2787,10031820000,0,Bankstown - North,Bankstown
2788,10031850000,0,Bankstown - North,Bankstown
2789,10031860000,0,Bankstown - North,Bankstown
2790,10031880000,0,Bankstown - North,Bankstown
2791,10031890000,0,Bankstown - North,Bankstown
2792,10031900000,0,Bankstown - North,Bankstown
2793,10031910000,0,Bankstown - South,Condell Park
2794,10031920000,0,Bankstown - South,Bankstown
2842,10032470000,0,Bankstown - South,Bankstown
2843,10032480000,0,Bankstown - South,Bankstown
2844,10032490000,0,Bankstown - South,Bankstown
2845,10032500000,0,Bankstown - South,Bankstown
2846,10032510000,0,Bankstown - South,Bankstown
2847,10032521000,0,Bankstown - South,Bankstown
2848,10032522000,0,Bankstown - South,Bankstown
2849,10032530000,0,Bankstown - South,Bankstown
2850,10032560000,0,Bankstown - South,Bankstown
2851,10032570000,0,Bankstown - South,Bankstown
2852,10032580000,0,Bankstown - South,Bankstown
2853,10032590000,0,Bankstown - South,Bankstown
2854,10032600000,0,Bankstown - South,Bankstown
2855,10032610000,0,Bankstown - South,Bankstown
2856,10032620000,0,Bankstown - South,Bankstown
2857,10032640000,0,Bankstown - South,Bankstown
2858,10032650000,0,Bankstown - South,Bankstown
2859,10032660000,0,Bankstown - South,Bankstown
2861,10032691000,0,Bankstown - North,Bankstown
2862,10032692000,0,Bankstown - North,Bankstown
2863,10032700000,0,Bankstown - North,Bankstown
2864,10032710000,0,Bankstown - North,Bankstown
2865,10032720000,0,Bankstown - North,Bankstown
2866,10032730000,0,Bankstown - North,Bankstown
2867,10032770000,0,Bankstown - North,Bankstown
2868,10032780000,0,Bankstown - North,Bankstown
2869,10032790000,0,Bankstown - North,Bankstown
2870,10032800000,0,Yagoona - Birrong,Yagoona
2871,10032810000,0,Yagoona - Birrong,Yagoona
2872,10032830000,0,Bankstown - North,Bankstown
2873,10032840000,0,Bankstown - North,Bankstown
2874,10032850000,0,Bankstown - North,Bankstown
2875,10032860000,0,Bankstown - North,Bankstown
2876,10032870000,0,Bankstown - North,Bankstown
2877,10032890000,0,Chullora,Greenacre
2878,10032900000,0,Chullora,Greenacre
2882,10032942000,0,Chullora,Chullora
2883,10032951000,0,Chullora,Yagoona
2884,10032952000,0,Chullora,Yagoona
2885,10032953000,0,Chullora,Yagoona
2886,10032960000,0,Bankstown - North,Bankstown
2887,10032971000,0,Chullora,Greenacre
2888,10032972000,0,Chullora,Greenacre
3091,10034820000,0,Bankstown - South,Bankstown
3094,10034850000,0,Bankstown - South,Bankstown
3095,10034860000,0,Bankstown - South,Bankstown
3097,10034880000,0,Punchbowl,Punchbowl
3100,10034900000,0,Punchbowl,Punchbowl
3101,10034911000,0,Punchbowl,Bankstown
3105,10034941000,0,Punchbowl,Punchbowl
3106,10034942000,0,Punchbowl,Punchbowl
3108,10034980000,0,Punchbowl,Punchbowl
3123,10035170000,0,Bankstown - North,Bankstown
3124,10035180000,0,Bankstown - North,Bankstown
3125,10035190000,0,Bankstown - North,Bankstown
3126,10035210000,0,Bankstown - North,Bankstown
3127,10035220000,0,Bankstown - North,Bankstown
3128,10035230000,0,Bankstown - North,Bankstown
3129,10035240000,0,Bankstown - North,Bankstown
3130,10035250000,0,Bankstown - North,Bankstown
3131,10035260000,0,Bankstown - North,Bankstown
3133,10035270000,0,Bankstown - North,Bankstown
3134,10035280000,0,Bankstown - North,Bankstown
3135,10035290000,0,Bankstown - North,Bankstown
3136,10035300000,0,Bankstown - North,Bankstown
3137,10035310000,0,Bankstown - North,Bankstown
3138,10035320000,0,Bankstown - North,Bankstown
3139,10035330000,0,Bankstown - North,Bankstown
3140,10035340000,0,Bankstown - North,Bankstown
3141,10035350000,0,Bankstown - North,Bankstown
3142,10035360000,0,Bankstown - North,Bankstown
3143,10035370000,0,Bankstown - North,Bankstown
3144,10035380000,0,Bankstown - North,Bankstown
3145,10035390000,0,Bankstown - North,Bankstown
3146,10035400000,0,Bankstown - North,Bankstown
3147,10035410000,0,Bankstown - North,Bankstown
3148,10035420000,0,Bankstown - North,Bankstown
3153,10035510000,0,Bankstown - North,Bankstown
3154,10035520000,0,Bankstown - North,Bankstown
3158,10035560000,0,Bankstown - North,Bankstown
3159,10035570000,0,Bankstown - North,Bankstown
3160,10035591000,0,Bankstown - North,Bankstown
3161,10035611000,0,Bankstown - North,Bankstown
