MTMZCode,Buffer,Asset_ID,NF_ID,Named_Faci,Address,Ownership,Parent_Nam,WardName,SUBURB_NAM,Parenttype,SimpleCode,x,y,Tree_zone,_created,_created_b,_modified,_modified_,_sync_date,_id
CantRo-4069-Ab,750,RDS017483,NFI004069,Canterbury Road,Canterbury Road Punchbowl,RMS,Canterbury Road,ROSELANDS,PUNCHBOWL,RDS,A,151.0543301,-33.93195431,86,14:30.0,robert.noar,29:33.0,robert.noar,29:33.0,402ccd3c-1230-412b-a484-c8b572cbf1a5
VictRo-4158-Bb,750,RDS547230,NFI004158,Victoria Road,Victoria Road Punchbowl,CBC,Victoria Road,ROSELANDS,PUNCHBOWL,RDS,B,151.0532936,-33.93300442,86,14:30.0,robert.noar,29:33.0,robert.noar,29:33.0,785fd63f-e227-4b77-84f1-3ae8b6a0be7b
VictRo-4158-Ab,750,RDS547230,NFI004158,Victoria Road,Victoria Road Punchbowl,CBC,Victoria Road,ROSELANDS,PUNCHBOWL,RDS,A,151.0531867,-33.93298217,86,14:30.0,robert.noar,29:33.0,robert.noar,29:33.0,9b89e3cc-f02c-4cc1-8b4b-aee31436a765
FiftAv-3807-Bb,750,RDS516930,NFI003807,Fifth Avenue,Fifth Avenue Campsie,CBC,Fifth Avenue,CANTERBURY,CAMPSIE,RDS,B,151.0993032,-33.90391154,131,14:30.0,robert.noar,29:34.0,robert.noar,29:34.0,187b0c6a-7faf-4e9a-ab22-9f7e73894d19
FirsAv-4622-Bb,750,RDS517330,NFI004622,First Avenue,First Avenue Belfield,CBC,First Avenue,CANTERBURY,CAMPSIE,RDS,B,151.093744,-33.90523199,131,14:30.0,robert.noar,29:34.0,robert.noar,29:34.0,1ac5bb97-02b2-44a4-8a57-b5dfdcacbdf5
ShelSt-4812-Bb,750,RDS516620,NFI004812,Shelley Street,Shelley Street Campsie,CBC,Shelley Street,CANTERBURY,CAMPSIE,RDS,B,151.1055208,-33.90355748,131,14:30.0,robert.noar,29:34.0,robert.noar,29:34.0,1b50c03e-1458-4437-a492-76ed5cd5c875
ThirAv-4830-Ab,750,RDS517130,NFI004830,Third Avenue,Third Avenue Campsie,CBC,Third Avenue,CANTERBURY,CAMPSIE,RDS,A,151.0965745,-33.90459702,131,14:30.0,robert.noar,29:34.0,robert.noar,29:34.0,36385470-44b8-4fa1-8242-a438808f97fa
BeamSt-4735-Bb,750,RDS512740,NFI004735,Beamish Street,Beamish Street Campsie,CBC,Beamish Street,CANTERBURY,CAMPSIE,RDS,B,151.1032915,-33.9036176,131,14:30.0,robert.noar,29:34.0,robert.noar,29:34.0,3b79a1fa-e352-4d4f-b4db-efd66a059a08
TennSt-4701-Ab,750,RDS516710,NFI004701,Tennyson Street,Tennyson Street Campsie,CBC,Tennyson Street,CANTERBURY,CAMPSIE,RDS,A,151.1036995,-33.90386108,131,14:30.0,robert.noar,29:34.0,robert.noar,29:34.0,3d869e90-ce3f-496c-b48c-bffc03f4bd95
TennSt-4701-Bb,750,RDS516710,NFI004701,Tennyson Street,Tennyson Street Campsie,CBC,Tennyson Street,CANTERBURY,CAMPSIE,RDS,B,151.104009,-33.90381869,131,14:30.0,robert.noar,29:34.0,robert.noar,29:34.0,449cbc46-8d1e-4c4e-a7c7-9db6ced3b2cd
