Number,Genus,Scientific Name,Common Name,Family,Type,Form,iTree Code,Carbon Category,EcoSystem,Te Score
2,Callistemon viminalis,Callistemon viminalis,Weeping Bottlebrush,Myrtaceae,NATIVE,Evergreen,CAVI,Native Hardwoods,Climate Suited,6
3,Lophostemon confertus,Lophostemon confertus,Brush Box,Myrtaceae,NATIVE,Evergreen,LOCO9,Native Hardwoods,Climate Suited,6
4,Tristaniopsis laurina,Tristaniopsis laurina,Water Gum,Myrtaceae,NATIVE,Evergreen,TRLA,Native Hardwoods,Climate Suited,6
5,Melaleuca quinquenervia,Melaleuca quinquenervia,Broad leafed Paperbark,Myrtaceae,NATIVE,Evergreen,MEQU,Native Hardwoods,Climate Suited,6
6,A,A,N/A,0,0,0,N/A,-,-,0
7,A,Acacia baileyana,Cootramundra Wattle,Fabaceae,NATIVE,Evergreen,ACBA2,Native Hardwoods,Climate Suited,6
8,A,Acacia binervata,Two-veined Hickory,Fabaceae,NATIVE,Evergreen,ACBI1,Native Hardwoods,-,0
9,A,Acacia binervia,Myall wattle,Fabaceae,NATIVE,Evergreen,ACBI,Native Hardwoods,Indigenous,6
10,A,Acacia decurrens,Early Green Wattle,Fabaceae,NATIVE,Evergreen,ACDE,Native Hardwoods,Indigenous,6
11,A,Acacia elata,Cedar Wattle,Fabaceae,NATIVE,Evergreen,ACEL,Native Hardwoods,Climate Suited,6
12,A,Acacia fimbriata,Fringed Wattle,Fabaceae,NATIVE,Evergreen,ACFI,Native Hardwoods,Climate Suited,6
13,A,Acacia floribunda,White Sallow Wattle,Fabaceae,NATIVE,Evergreen,ACFL,Native Hardwoods,Climate Suited,6
14,A,Acacia linifolia,White Wattle,Fabaceae,NATIVE,Evergreen,ACLI,Native Hardwoods,Climate Suited,6
15,A,Acacia longifolia var longifolia,Golden Wattle,Fabaceae,NATIVE,Evergreen,ACLO,Native Hardwoods,-,0
16,A,Acacia longissima,Long-leaf Wattle,Fabaceae,NATIVE,Evergreen,-,Native Hardwoods,-,0
17,A,Acacia melanoxylon,Black Wattle,Mimosoideae,NATIVE,Evergreen,ACME,Native Hardwoods,Cimate Unsuited,4
18,A,Acacia parramattensis,Parramatta Wattle,Fabaceae,NATIVE,Evergreen,ACPA81,Native Hardwoods,Indigenous,6
19,A,Acacia podalyriifolia,Queensland Silver Wattle,Fabaceae,NATIVE,Evergreen,ACPO2,Native Hardwoods,Climate Suited,6
20,A,Acacia sp. (Exotic & Deciduous),Wattle,Fabaceae,EXOTIC,Deciduous,-,Exotic Hardwoods,-,0
21,A,Acacia sp. (Exotic & Evergreen),Wattle,Fabaceae,EXOTIC,Evergreen,-,Exotic Hardwoods,-,0
