MTMZCode,Asset_ID,NF_ID,Named_Faci,Address,Ownership,Parent_Nam,WardName,SUBURB_NAM,Parenttype,SimpleCode,x,y,Tree_zone,_id
ArleSt-1762-Ab,RDS004310,NFI001762,Arlewis Street,Arlewis Street Chester Hill,CBC,Arlewis Street,BASS HILL,CHESTER HILL,RDS,A,151.0000125,-33.87560342,62,3e0c37fb-9149-4552-b461-45e2c17386f3
WeemSt-1649-Bb,RDS100440,NFI001649,Weemala Street,Weemala Street Chester Hill,CBC,Weemala Street,BASS HILL,CHESTER HILL,RDS,B,150.9997542,-33.87626066,62,aaf455e0-c009-4655-9315-b8d08d46d954
DeanAv-3852-Bb,RDS536710,NFI003852,Dean Avenue,Dean Avenue Belmore,CBC,Dean Avenue,ROSELANDS,BELMORE,RDS,B,151.0871163,-33.91638554,105,19b1b791-f9c7-437d-870c-459240915b92
BeamSt-4096-Ab,RDS512730,NFI004096,Beamish Street,Beamish Street Campsie,CBC,Beamish Street,CANTERBURY,CAMPSIE,RDS,A,151.10314,-33.90746545,131,23dd02de-2a20-47ac-adc5-41b532629cac
JimRi-2580-Ab,RDS147510,NFI002580,Jim Ring Lane,Jim Ring Lane Birrong,CBC,Jim Ring Lane,BASS HILL,BIRRONG,RDS,A,151.02327,-33.89321152,69,3628d2ed-ac9a-4cb2-b4e9-6d42057c3c89
HudsPa-4993-Ab,RDS046910,NFI004993,Hudson Parade,Hudson Parade Birrong,CBC,Hudson Parade,BASS HILL,BIRRONG,RDS,A,151.0235326,-33.89353628,69,560bdd10-bbd3-45d9-a590-1fa7499d865c
RoddSt-4990-Ab,RDS082780,NFI004990,Rodd Street,Rodd Street Birrong,CBC,Rodd Street,BASS HILL,BIRRONG,RDS,A,151.0228028,-33.89273203,69,607bbc68-58c2-4aaa-bda2-dc76809df3ca
BurwRo-4467-Ab,RDS518925,NFI004467,Burwood Road,Burwood Road Belmore,CBC,Burwood Road,ROSELANDS,BELMORE,RDS,A,151.0874493,-33.91603935,105,687cb928-876a-48e6-b9a1-fdbbeb325b87
RailPa-4221-Ab,RDS530130,NFI004221,Railway Parade,Railway Parade Lakemba,CBC,Railway Parade,ROSELANDS,LAKEMBA,RDS,A,151.0780003,-33.91916434,105,6d9c0fd3-fd39-4bc0-a193-bd2bdeac161a
HaldSt-4222-Bb,RDS533340,NFI004222,Haldon Street,Haldon Street Lakemba,CBC,Haldon Street,ROSELANDS,LAKEMBA,RDS,B,151.0765825,-33.91893972,105,773d1cdd-b0af-447d-8cde-5202185dc767
EighAv-3781-Bb,RDS517530,NFI003781,Eighth Avenue,Eighth Avenue Campsie,CBC,Eighth Avenue,CANTERBURY,CAMPSIE,RDS,B,151.1017779,-33.90651606,131,791202e7-97f9-4c84-b418-4dd460874492
